,k2=600,,,,,,k2=900,,,,,
,LS,LAV,SVR,MLP,AsyLAV,AsySVR,LS,LAV,SVR,MLP,AsyLAV,AsySVR
104,-268.9324346,-326.3842201,-318.9579249,-0.12353598,17.12781589,8.707359293,-268.9324346,-326.3842201,-318.9579249,-0.12353598,101.1301149,129.6341324
105,-685.8563979,-778.3420215,-728.3859175,-164.7785987,-372.9256737,-385.8475638,-685.8563979,-778.3420215,-728.3859175,-164.7785987,-272.2959704,-235.1325492
106,-619.4515667,-704.1733069,-683.9717858,-148.9470122,-285.0522796,-296.9342437,-619.4515667,-704.1733069,-683.9717858,-148.9470122,-171.7641894,-140.0539553
107,-649.4680193,-779.3221805,-704.3251037,-270.356067,-336.011498,-348.0386467,-649.4680193,-779.3221805,-704.3251037,-270.356067,-217.3072861,-195.306236
108,-154.9780653,-277.0507733,-228.9823674,-96.95952334,157.9884592,153.5097876,-154.9780653,-277.0507733,-228.9823674,-96.95952334,299.8788302,311.8843236
109,0.619959582,-99.44223001,-34.83495496,-53.22975057,380.3844178,377.8988088,0.619959582,-99.44223001,-34.83495496,-53.22975057,529.1141006,536.3422351
110,294.7937995,208.1420613,250.6586996,98.14904033,682.1225604,683.5157966,294.7937995,208.1420613,250.6586996,98.14904033,840.6587233,850.9291318
111,168.0589806,140.9609157,148.1031421,52.83600879,563.8700078,570.7233587,168.0589806,140.9609157,148.1031421,52.83600879,700.4202955,701.0408838
112,253.3915191,208.3449127,196.5388009,48.89117155,565.8366855,572.7480245,253.3915191,208.3449127,196.5388009,48.89117155,680.9649433,686.8992841
113,-277.9264442,-251.0495567,-271.4888672,35.45711642,7.322758433,16.7262998,-277.9264442,-251.0495567,-271.4888672,35.45711642,81.6409014,81.22848135
114,-114.4064956,-67.98256793,-143.185209,85.29669952,141.2463196,143.4924146,-114.4064956,-67.98256793,-143.185209,85.29669952,186.5952405,192.0778817
115,-184.3461995,-171.4563755,-203.6607595,72.38634365,32.44401774,28.55690309,-184.3461995,-171.4563755,-203.6607595,72.38634365,52.845938,64.19274943
116,19.30649161,17.30652796,-50.05194982,52.83227047,265.4707848,252.3319176,19.30649161,17.30652796,-50.05194982,52.83227047,286.5187896,303.1891322
117,-137.2400903,-129.5831076,-146.3902435,-18.90350871,145.9481484,132.458624,-137.2400903,-129.5831076,-146.3902435,-18.90350871,173.8565169,184.6680492
118,-189.2080574,-176.3743824,-184.5528805,-67.09673436,112.9389511,102.1996484,-189.2080574,-176.3743824,-184.5528805,-67.09673436,152.7781312,156.3957752
119,-230.5024024,-268.1440245,-242.1511982,-160.821301,85.75762325,75.13565902,-230.5024024,-268.1440245,-242.1511982,-160.821301,143.6527421,155.0482357
120,-329.2286749,-389.7180533,-377.1944796,-227.0053709,-87.00294075,-91.79256882,-329.2286749,-389.7180533,-377.1944796,-227.0053709,-23.77960391,-13.29081998
121,-232.603546,-276.8834501,-255.86396,-62.62524584,-31.29833122,-27.76457934,-232.603546,-276.8834501,-255.86396,-62.62524584,41.2390977,47.84112279
122,-146.2280783,-176.1067289,-171.8565722,31.93893532,44.19430315,54.15536451,-146.2280783,-176.1067289,-171.8565722,31.93893532,119.6231432,124.695897
123,-161.8069999,-181.5258954,-159.7095706,18.73223056,14.61184563,24.02597798,-161.8069999,-181.5258954,-159.7095706,18.73223056,98.60728734,111.1191608
124,-228.0169747,-223.8607823,-238.3404236,81.96615124,30.27090398,30.74736014,-228.0169747,-223.8607823,-238.3404236,81.96615124,97.95965589,118.5838489
125,-250.9580388,-261.2883432,-252.5060524,158.2602545,21.93844988,8.832856112,-250.9580388,-261.2883432,-252.5060524,158.2602545,53.08525806,72.57091936
126,-104.8652715,-93.59537997,-168.0219935,257.9378489,221.0269322,196.2209275,-104.8652715,-93.59537997,-168.0219935,257.9378489,233.0165022,244.531411
127,297.5701901,295.0850256,268.1533417,322.1653151,597.1370244,564.5867492,297.5701901,295.0850256,268.1533417,322.1653151,587.6935965,588.9591236
128,285.5131879,328.0580937,304.3743875,317.4909945,606.6862949,577.877523,285.5131879,328.0580937,304.3743875,317.4909945,611.8375372,606.9064916
129,571.2262432,624.359445,612.527709,457.466732,921.3706928,897.2166352,571.2262432,624.359445,612.527709,457.466732,943.2042541,947.0005927
130,540.6420473,592.5300858,536.6346173,301.4349749,901.7488632,886.2845793,540.6420473,592.5300858,536.6346173,301.4349749,952.7639025,967.3821959
131,335.0252824,329.6161818,341.8648666,278.8706352,630.9883637,620.4634983,335.0252824,329.6161818,341.8648666,278.8706352,688.9532424,711.3176938
132,-110.7506548,-52.34189097,-88.64810554,118.9112374,167.2831669,170.2213767,-110.7506548,-52.34189097,-88.64810554,118.9112374,214.78946,223.3898246
133,-131.7435128,-149.3079371,-95.03180174,16.1297564,11.89105273,20.02134019,-131.7435128,-149.3079371,-95.03180174,16.1297564,45.82623947,50.31912207
134,-41.59758992,21.1372518,-37.95354777,-1.877567021,178.8763043,192.4382655,-41.59758992,21.1372518,-37.95354777,-1.877567021,199.1232905,194.2537166
135,250.0189051,213.8269049,210.2892374,66.15097617,394.3477693,396.7829424,250.0189051,213.8269049,210.2892374,66.15097617,432.7768716,447.6809551
136,310.5903923,288.5946015,275.5114753,138.4656212,555.312211,553.7015866,310.5903923,288.5946015,275.5114753,138.4656212,607.5468819,622.2490251
137,-198.0273847,-194.269705,-155.3194059,-78.06947758,84.51429359,77.12443545,-198.0273847,-194.269705,-155.3194059,-78.06947758,132.8992602,146.2792565
138,-111.6427343,-79.2304517,-91.92043139,-97.32498584,105.5594232,102.3949293,-111.6427343,-79.2304517,-91.92043139,-97.32498584,139.0220086,138.3834631
139,-98.1701145,-92.09562219,-116.526003,-216.1050407,80.46351011,71.55848667,-98.1701145,-92.09562219,-116.526003,-216.1050407,100.4293593,101.042697
140,122.7789445,95.62493595,74.86910228,-94.23824201,195.7609506,189.594845,122.7789445,95.62493595,74.86910228,-94.23824201,215.3548355,214.2431729
141,-126.7884933,-72.63402725,-97.47556935,-93.6431913,-13.26275429,-21.14251002,-126.7884933,-72.63402725,-97.47556935,-93.6431913,3.679659591,3.426400001
142,179.5107623,200.7010616,161.526306,-74.04360397,225.7818486,220.9930584,179.5107623,200.7010616,161.526306,-74.04360397,249.3600641,256.1731544
143,80.33232942,100.9433411,73.24629078,-11.00988247,178.90681,176.2175342,80.33232942,100.9433411,73.24629078,-11.00988247,199.2035655,208.1426779
144,25.3113154,29.84614334,-9.790510017,8.559611659,183.7880119,179.7422705,25.3113154,29.84614334,-9.790510017,8.559611659,199.8562333,217.8112904
145,96.6775511,90.35158331,83.96571894,-57.30444639,276.0797641,269.5750544,96.6775511,90.35158331,83.96571894,-57.30444639,288.7234008,309.545737
146,196.5060083,126.177813,172.1818655,84.3682311,375.4715195,364.5642574,196.5060083,126.177813,172.1818655,84.3682311,376.0571019,401.3721934
147,69.62347579,89.33265813,63.35167736,53.83746461,262.8411474,260.3689624,69.62347579,89.33265813,63.35167736,53.83746461,263.7911159,289.3185246
148,92.39602966,83.85081687,87.25709652,142.0404636,220.3644326,221.1990604,92.39602966,83.85081687,87.25709652,142.0404636,236.881524,280.0267561
149,-33.84093197,-16.31469137,-33.66678366,112.3572657,155.7411004,163.8765274,-33.84093197,-16.31469137,-33.66678366,112.3572657,188.1749769,244.3907949
150,-49.69155463,-14.26132972,-64.66644747,66.86235626,135.0245151,143.0799293,-49.69155463,-14.26132972,-64.66644747,66.86235626,185.9418124,250.6780403
151,-103.5721323,-162.1361809,-115.7290343,-59.94390525,70.29472039,69.40611446,-103.5721323,-162.1361809,-115.7290343,-59.94390525,126.213962,201.1324039
152,95.06709762,102.6144413,85.78479149,86.52503792,332.7914743,327.2057372,95.06709762,102.6144413,85.78479149,86.52503792,375.9586675,426.977967
153,-99.95230703,-141.8982775,-113.0391978,-28.07895542,134.3704682,123.4946272,-99.95230703,-141.8982775,-113.0391978,-28.07895542,168.3297427,197.7941882
154,-72.09270339,-12.20150608,-51.65938937,-34.82842168,211.1990691,205.7663936,-72.09270339,-12.20150608,-51.65938937,-34.82842168,244.4218124,245.6019046
155,-441.9896604,-446.409865,-431.3708838,-272.2632765,-174.3061048,-176.6272316,-441.9896604,-446.409865,-431.3708838,-272.2632765,-123.6958153,-133.8188933
156,0.359497289,44.78935225,-34.3593219,-100.1526342,278.911721,282.3663958,0.359497289,44.78935225,-34.3593219,-100.1526342,358.9127718,351.3874039
157,158.3087158,98.35875218,99.4688013,6.332045924,517.1811802,513.859818,158.3087158,98.35875218,99.4688013,6.332045924,619.5642079,630.6429988
158,174.2138212,151.869927,162.4896704,260.8670431,543.461892,537.076838,174.2138212,151.869927,162.4896704,260.8670431,657.1931892,675.1404859
159,146.529125,127.4649234,118.6951686,180.7554137,493.465664,486.9822713,146.529125,127.4649234,118.6951686,180.7554137,586.1173415,599.7808585
160,111.38314,130.4298181,117.721962,235.5788681,401.1246432,395.8347601,111.38314,130.4298181,117.721962,235.5788681,462.0183048,473.0003076
161,-107.2114995,-38.12172929,-100.7103938,398.1806779,167.6779144,168.8484312,-107.2114995,-38.12172929,-100.7103938,398.1806779,193.7441568,200.623523
162,23.34242589,111.0546063,34.68506045,358.3287453,249.0914933,252.0072929,23.34242589,111.0546063,34.68506045,358.3287453,251.794879,258.8236936
163,25.05251348,52.28774524,12.10245926,290.3622352,214.9731037,220.1509347,25.05251348,52.28774524,12.10245926,290.3622352,205.6274557,214.5564305
164,-12.9008722,17.99763028,-13.12040073,114.0088741,244.0236966,244.0048773,-12.9008722,17.99763028,-13.12040073,114.0088741,239.7437315,249.83315
165,-132.790324,-67.63912887,-95.89440089,32.9206567,183.3820421,180.0857448,-132.790324,-67.63912887,-95.89440089,32.9206567,193.1177775,202.6183076
166,-87.23873657,-85.5211571,-73.76173597,-126.0356633,204.9387055,193.2679753,-87.23873657,-85.5211571,-73.76173597,-126.0356633,223.0784097,240.368383
167,-82.30001579,-115.8108825,-96.78055884,-247.2513668,200.7835519,186.0287017,-82.30001579,-115.8108825,-96.78055884,-247.2513668,232.5221206,256.4436312
168,-146.5950905,-124.0914224,-174.241311,-397.2497833,146.9487061,137.8175897,-146.5950905,-124.0914224,-174.241311,-397.2497833,180.9356464,193.6265894
169,-34.43146552,-16.75460987,2.913577483,-299.8293796,158.0793413,158.6726285,-34.43146552,-16.75460987,2.913577483,-299.8293796,201.6206995,197.477483
170,-75.18667893,-74.18177137,-49.59557969,-284.1329661,149.4117992,152.1095259,-75.18667893,-74.18177137,-49.59557969,-284.1329661,196.7709664,187.0948787
171,-105.8792698,-61.7252629,-57.69263862,-142.1619948,127.002092,126.8273421,-105.8792698,-61.7252629,-57.69263862,-142.1619948,181.1305858,166.2628424
172,-263.3498642,-254.2728795,-232.2911878,9.509047703,13.06656445,4.073707857,-263.3498642,-254.2728795,-232.2911878,9.509047703,49.33206419,31.55830652
173,-161.7179005,-97.03946786,-162.8698158,87.97663409,175.0152796,155.5077853,-161.7179005,-97.03946786,-162.8698158,87.97663409,183.504867,155.9513968
174,84.6650999,66.84687928,14.35571906,345.6189463,389.6764635,360.5881535,84.6650999,66.84687928,14.35571906,345.6189463,404.1044425,383.864029
175,447.7934001,487.8225792,462.1810882,581.6264246,774.2035307,746.1169631,447.7934001,487.8225792,462.1810882,581.6264246,777.270981,751.249905
176,229.1791169,244.1327302,228.034111,537.5777833,590.7831165,564.2936544,229.1791169,244.1327302,228.034111,537.5777833,622.3789363,609.7648856
177,-597.0496388,-551.6816203,-512.6217936,-261.819886,-234.6022609,-255.1283312,-597.0496388,-551.6816203,-512.6217936,-261.819886,-197.2788313,-198.6434495
